a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2015,Abril,Guatemala,320,10,8,18,"(12.586067,-81.702563)"
2017,Septiembre,Nicaragua,558,1,1,2,"(10.408582,-75.538003)"
2020,Septiembre,Alemania,276,17,20,37,"(4.697144,-74.140516)"
2015,Septiembre,Irán,364,1,0,1,"(0.814836,-77.662532)"
2022,Mayo,Irán,364,7,15,22,"(4.697144,-74.140516)"
2019,Abril,Luxemburgo,442,7,14,21,"(4.697144,-74.140516)"
2013,Noviembre,República Checa,203,1,1,2,"(0.25129,-76.875963)"
2017,Mayo,Egipto,818,0,1,1,"(7.818934,-72.453226)"
2016,Febrero,Uruguay,858,52,57,109,"(10.445761,-75.516429)"
2017,Junio,Turquía,792,0,1,1,"(-4.223468,-69.945098)"
2014,Febrero,Suiza,756,4,6,10,"(-4.197703,-69.941278)"
2019,Julio,Malasia,458,1,2,3,"(6.171601,-75.427454)"
2015,Febrero,Bélgica,56,0,1,1,"(7.818934,-72.453226)"
2023,Mayo,Guatemala,320,1,2,3,"(0.814836,-77.662532)"
2012,Noviembre,Panamá,591,2,2,4,"(8.635765,-77.346578)"
2022,Marzo,Perú,604,0,2,2,"(-0.193180,-74.784874)"
2018,Septiembre,Nueva Zelanda,554,1,3,4,"(3.541112,-76.384584)"
2018,Noviembre,Noruega,578,1,3,4,"(4.815061,-75.736532)"
2016,Mayo,Austria,40,0,2,2,"(7.818934,-72.453226)"
2019,Junio,República de Moldavia,498,6,1,7,"(4.697144,-74.140516)"
2017,Septiembre,Turquía,792,2,9,11,"(6.171601,-75.427454)"
2014,Noviembre,India,356,0,3,3,"(10.408582,-75.538003)"
2019,Diciembre,Grecia,300,12,31,43,"(10.445761,-75.516429)"
2019,Octubre,Grecia,300,0,3,3,"(3.541112,-76.384584)"
2014,Octubre,India,356,0,1,1,"(11.360009,-72.129330)"
2015,Abril,China,156,2,13,15,"(7.818934,-72.453226)"
2023,Marzo,Bolivia,68,3,5,8,"(11.117806,-74.232622)"
2022,Junio,Chile,152,0,2,2,"(7.128456,-73.183637)"
2018,Mayo,Bosnia y Herzegovina,70,4,7,11,"(4.697144,-74.140516)"
2016,Diciembre,Chile,152,3639,4738,8377,"(4.697144,-74.140516)"
2022,Noviembre,Bélgica,56,0,1,1,"(7.916725,-72.462544)"
2019,Junio,República de Irlanda,372,8,10,18,"(8.635765,-77.346578)"
2015,Septiembre,Australia,36,2,6,8,"(7.818934,-72.453226)"
2020,Septiembre,Desconocido,99999,4,15,19,"(4.697144,-74.140516)"
2022,Marzo,Italia,380,0,1,1,"(0.25129,-76.875963)"
2017,Abril,Canadá,124,27,50,77,"(10.886611,-74.776708)"
2014,Octubre,Paraguay,600,115,110,225,"(4.697144,-74.140516)"
2019,Diciembre,Túnez,788,0,3,3,"(6.171601,-75.427454)"
2023,Mayo,República Dominicana,214,89,147,236,"(10.886611,-74.776708)"
2019,Noviembre,República Árabe Siria,760,0,2,2,"(4.697144,-74.140516)"
2019,Abril,Jamaica,388,3,10,13,"(6.171601,-75.427454)"
2018,Septiembre,Australia,36,56,96,152,"(10.445761,-75.516429)"
2018,Junio,Uganda,800,2,3,5,"(4.697144,-74.140516)"
2018,Septiembre,Italia,380,676,1709,2386,"(4.697144,-74.140516)"
2016,Enero,Austria,40,2,1,3,"(11.247723,-74.213989)"
2014,Agosto,Panamá,591,558,831,1389,"(6.171601,-75.427454)"
2012,Diciembre,Guyana,328,0,1,1,"(12.586067,-81.702563)"
2021,Septiembre,República de Corea,410,1,0,1,"(7.818934,-72.453226)"
2022,Noviembre,Argentina,32,1,1,2,"(0.25129,-76.875963)"
2021,Junio,Venezuela,862,1787,2063,3850,"(11.360009,-72.129330)"
2020,Febrero,San  Vicente y las Granadinas,670,1,1,2,"(12.586067,-81.702563)"
2013,Noviembre,El Salvador,222,45,69,114,"(6.171601,-75.427454)"
2012,Junio,España,724,7,13,20,"(10.886611,-74.776708)"
2014,Diciembre,Grecia,300,0,1,1,"(7.818934,-72.453226)"
2018,Diciembre,Ucrania,804,0,1,1,"(10.886611,-74.776708)"
2018,Septiembre,Paraguay,600,1,0,1,"(4.452882,-75.766298)"
2020,Febrero,Turquía,792,7,17,24,"(10.445761,-75.516429)"
2022,Diciembre,Hong Kong,344,2,2,4,"(10.445761,-75.516429)"
2021,Marzo,Emiratos Árabes,784,0,2,2,"(4.697144,-74.140516)"
2020,Agosto,Estados Unidos de América,840,3,9,12,"(10.445761,-75.516429)"
2022,Septiembre,Montenegro,499,0,3,3,"(3.893038,-77.067921)"
2023,Enero,Uzbekistán,860,1,0,1,"(6.171601,-75.427454)"
2014,Diciembre,Venezuela,862,5536,6081,11617,"(7.818934,-72.453226)"
2014,Enero,España,724,0,2,2,"(7.088729,-70.740253)"
2019,Julio,Federación de Rusia,643,0,1,1,"(9.402978,-75.681599)"
2015,Octubre,Venezuela,862,1,7,8,"(4.815061,-75.736532)"
2014,Octubre,Ecuador,218,2078,3141,5219,"(4.697144,-74.140516)"
2023,Junio,Islas Caimán/Territorio Británico de Ultramar,136,0,2,2,"(10.445761,-75.516429)"
2015,Junio,República de Corea,410,16,18,34,"(0.814836,-77.662532)"
2019,Junio,Suecia,752,1,5,6,"(4.815061,-75.736532)"
2016,Mayo,Ecuador,218,1498,2731,4229,"(0.814836,-77.662532)"
2017,Noviembre,Andorra,20,2,8,10,"(4.697144,-74.140516)"
2022,Diciembre,China,156,57,64,121,"(6.171601,-75.427454)"
2019,Julio,República Dominicana,214,0,3,3,"(7.128456,-73.183637)"
2014,Febrero,Suiza,756,15,17,32,"(10.408582,-75.538003)"
2017,Febrero,República Checa,203,6,15,21,"(3.541112,-76.384584)"
2022,Octubre,Suiza,756,53,58,111,"(10.445761,-75.516429)"
2023,Abril,Canadá,124,1,3,4,"(-4.197703,-69.941278)"
2021,Julio,Federación de Rusia,643,0,1,1,"(9.402978,-75.681599)"
2016,Diciembre,Alemania,276,18,23,41,"(-4.197703,-69.941278)"
2019,Septiembre,Rumania,642,1,4,5,"(10.886611,-74.776708)"
2018,Agosto,Australia,36,287,577,864,"(4.697144,-74.140516)"
2023,Mayo,México,484,0,3,3,"(13.3387613,-81.372937)"
2014,Julio,San Cristóbal y Nevis,659,1,1,2,"(4.697144,-74.140516)"
2017,Marzo,Belice,84,1,1,2,"(6.171601,-75.427454)"
2022,Agosto,Sudáfrica,710,1,0,1,"(11.117806,-74.232622)"
2016,Junio,Estados Unidos de América,840,251,333,584,"(4.815061,-75.736532)"
2014,Noviembre,El Salvador,222,3,3,6,"(10.886611,-74.776708)"
2015,Noviembre,Polonia,616,5,7,12,"(10.445761,-75.516429)"
2019,Septiembre,Sri Lanka,144,0,1,1,"(10.445761,-75.516429)"
2015,Marzo,Israel,376,16,100,116,"(6.171601,-75.427454)"
2022,Agosto,Indonesia,360,1,2,3,"(10.445761,-75.516429)"
2015,Abril,Australia,36,0,1,1,"(7.128456,-73.183637)"
2017,Abril,República de Irlanda,372,9,25,34,"(6.171601,-75.427454)"
2015,Febrero,Australia,36,231,368,599,"(4.697144,-74.140516)"
2014,Junio,Camerún,120,1,0,1,"(0.814836,-77.662532)"
2014,Mayo,Austria,40,1,1,2,"(11.247723,-74.213989)"
2015,Marzo,Filipinas,608,0,32,32,"(11.247723,-74.213989)"
2014,Abril,Paraguay,600,1,2,3,"(4.815061,-75.736532)"
2016,Octubre,Australia,36,1,3,4,"(7.818934,-72.453226)"
2018,Noviembre,Italia,380,2,4,6,"(8.635765,-77.346578)"
2018,Junio,República Dominicana,214,64,92,156,"(10.445761,-75.516429)"
2019,Noviembre,Noruega,578,19,51,70,"(10.445761,-75.516429)"
2022,Junio,Estados Unidos de América,840,9,21,30,"(-4.197703,-69.941278)"
2023,Mayo,Islas Caimán/Territorio Británico de Ultramar,136,0,1,1,"(10.445761,-75.516429)"
2023,Junio,Mozambique,508,1,0,1,"(10.445761,-75.516429)"
2015,Mayo,Japón,392,1,1,2,"(-4.197703,-69.941278)"
2021,Diciembre,Portugal,620,26,27,53,"(7.818934,-72.453226)"
2019,Octubre,Nueva Zelanda,554,1,2,3,"(3.541112,-76.384584)"
2022,Abril,Liechtenstein,438,1,0,1,"(10.445761,-75.516429)"
2017,Junio,Grecia,300,0,1,1,"(3.893038,-77.067921)"
2012,Octubre,Venezuela,862,55,81,136,"(3.541112,-76.384584)"
2015,Junio,Francia,250,30,52,82,"(10.445761,-75.516429)"
2016,Septiembre,República Dominicana,214,90,107,197,"(6.171601,-75.427454)"
2019,Mayo,Francia,250,10,24,34,"(10.408582,-75.538003)"
2013,Mayo,Estados Unidos de América,840,8,11,19,"(7.927209,-72.507910)"
2023,Febrero,España,724,0,1,1,"(0.812436,-77.847006)"
2022,Enero,Tanzania,834,0,4,4,"(4.697144,-74.140516)"
2018,Mayo,Refugiado,99999,2,2,4,"(4.697144,-74.140516)"
2012,Noviembre,Reino Unido de Gran Bretaña e Irlanda del Norte,826,186,493,679,"(4.697144,-74.140516)"
2016,Marzo,Panamá,591,3,3,6,"(7.818934,-72.453226)"
2020,Agosto,Suiza,756,12,8,20,"(4.697144,-74.140516)"
2018,Enero,República de Irlanda,372,0,2,2,"(-4.197703,-69.941278)"
2014,Julio,India,356,1,7,8,"(10.886611,-74.776708)"
2022,Junio,Brasil,76,7,35,42,"(10.886611,-74.776708)"
2020,Febrero,Panamá,591,4,3,7,"(8.635765,-77.346578)"
2021,Octubre,Perú,604,17,27,44,"(7.818934,-72.453226)"
2014,Agosto,Ucrania,804,0,3,3,"(10.445761,-75.516429)"
2021,Mayo,Venezuela,862,1,3,4,"(4.452882,-75.766298)"
2022,Marzo,Cuba,192,2,2,4,"(4.815061,-75.736532)"
2017,Enero,Guatemala,320,1,2,3,"(11.360009,-72.129330)"
2012,Febrero,Vietnam,704,1,0,1,"(6.171601,-75.427454)"
2021,Marzo,Nigeria,566,0,1,1,"(10.886611,-74.776708)"
2020,Febrero,Jamaica,388,43,32,75,"(4.697144,-74.140516)"
2015,Mayo,Alemania,276,5,11,16,"(10.886611,-74.776708)"
2012,Marzo,Polonia,616,4,1,5,"(10.445761,-75.516429)"
2017,Agosto,República de Kosovo,901,0,1,1,"(4.697144,-74.140516)"
2018,Julio,Arabia Saudita,682,1,1,2,"(6.171601,-75.427454)"
2012,Noviembre,Panamá,591,444,687,1131,"(4.697144,-74.140516)"
2012,Febrero,Nueva Zelanda,554,1,0,1,"(11.360009,-72.129330)"
2012,Agosto,España,724,5,2,7,"(12.586067,-81.702563)"
2022,Octubre,Nicaragua,558,1,0,1,"(12.586067,-81.702563)"
2021,Febrero,Países Bajos,528,12,21,33,"(10.886611,-74.776708)"
2019,Octubre,México,484,1,4,5,"(-4.197703,-69.941278)"
2015,Noviembre,República Dominicana,214,1,3,4,"(10.408582,-75.538003)"
2018,Diciembre,Guatemala,320,41,63,104,"(3.541112,-76.384584)"
2016,Febrero,Polonia,616,10,16,26,"(6.171601,-75.427454)"
2015,Enero,Finlandia,246,2,6,8,"(0.814836,-77.662532)"
2019,Abril,Chile,152,11,22,33,"(10.886611,-74.776708)"
2014,Junio,Hungría,348,0,1,1,"(3.541112,-76.384584)"
2014,Enero,Guatemala,320,26,69,95,"(6.171601,-75.427454)"
2017,Abril,Federación de Rusia,643,0,1,1,"(11.528919,-72.919681)"
2014,Septiembre,Bermudas/Territorio Británico de Ultramar,60,0,1,1,"(6.171601,-75.427454)"
2016,Junio,El Salvador,222,0,1,1,"(4.815061,-75.736532)"
2019,Abril,México,484,0,1,1,"(8.36068,-72.409396)"
2017,Abril,República de Armenia,51,1,1,2,"(4.697144,-74.140516)"
2018,Agosto,República de Irlanda,372,21,55,76,"(6.171601,-75.427454)"
2013,Diciembre,Turquía,792,0,1,1,"(10.886611,-74.776708)"
2022,Octubre,Bulgaria,100,0,1,1,"(3.893038,-77.067921)"
2022,Enero,Dinamarca,208,0,6,6,"(10.408582,-75.538003)"
